web-scraper-order,web-scraper-start-url,catli,catli-href,subcatli,subcatli-href,sub1,sub1-href,sub2,sub2-href,sub3,sub3-href,sub4,sub4-href,sub5,sub5-href,sub6,sub6-href,sub7,sub7-href,sub8,sub8-href
1595345493-1813,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,,,,,,,Cura della barba,https://www.notino.it/cura-della-barba/,,,,
1595345508-2610,https://www.notino.it,Profumi,https://www.notino.it/profumi/,Profumi speziati,https://www.notino.it/profumi-speziati/,,,,,,,,,,,,,,,,
1595345490-1592,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,Eczema atopico,https://www.notino.it/eczema-atopico/,,,,,,,,,,,,
1595345495-1925,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,Deodoranti e antitraspiranti,https://www.notino.it/deodoranti-e-antitraspiranti/,,,,,,,,
1595345490-1683,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,,,,,,,,,Autoabbronzanti,https://www.notino.it/creme-e-spray-autoabbronzanti/
1595345498-2102,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,Trousse per cosmetici,https://www.notino.it/make-up/?f=1-1-2-3644-6942-40460,,,,,,
1595345503-2320,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,Tinte,https://www.notino.it/colorazione-dei-capelli/,,,,,,,,,,,,,,
1595345498-2030,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,Capelli colorati,https://www.notino.it/capelli-colorati/,,,,,,,,,,,,,,
1595345493-1712,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,Maschere per capelli,https://www.notino.it/maschere-per-capelli/,,,,,,,,,,,,,,
1595345490-1630,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,Igiene intima,https://www.notino.it/igiene-intima/,,,,,,,,
1595345490-1684,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,,,,,,,,,Prodotti solari con filtri minerali,https://www.notino.it/creme-solari/?f=1-1-2-52434-52508
1595345495-1928,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,Cellulite e smagliature,https://www.notino.it/cellulite-e-smagliature/,,,,,,,,
1595345505-2582,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,,,,,,,,,,,,,Prodotti solari per il corpo,https://www.notino.it/creme-solari/?f=1-1-2-52434-3646-52440-52441
1595345503-2365,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,,,,,Che tipo di pelle ho?,https://www.notino.it/tipi-di-pelle/,,,,,,,,,,
1595345508-2723,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,,,,,,,,,Diffusori di aromi,https://www.notino.it/diffusore-di-aromi/,,
1595345488-1399,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,Campioncini,https://www.notino.it/campioncini-di-profumo/,,,,,,,,,,,,,,,,
1595345508-2613,https://www.notino.it,Profumi,https://www.notino.it/profumi/,Profumi fruttati,https://www.notino.it/profumi-fruttati/,,,,,,,,,,,,,,,,
1595345508-2730,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,,,,,,,,,Accessori,https://www.notino.it/profumi-per-ambienti/?f=1-1-53785-29100-29703-25814-27276-25819-32624,,
1595345508-2607,https://www.notino.it,Profumi,https://www.notino.it/profumi/,Profumi cipriati,https://www.notino.it/profumi-cipriati/,,,,,,,,,,,,,,,,
1595345490-1561,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,Balsamo,https://www.notino.it/balsamo/,,,,,,,,,,,,,,
1595345498-2040,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,Cura del corpo,https://www.notino.it/dermocosmesi/?f=1-1-37171-3646,,,,,,,,,,,,
1595345503-2346,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,,,Eczema atopico,https://www.notino.it/eczema-atopico/,,,,,,,,,,,,
